hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,virtualization,open_ports,running_services,server_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
srv-0018,Windows Server,2022,2,16,False,True,Cloud VM,[8080],['apache2'],Wiki Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.95,True
srv-0019,Windows Server,2016,4,128,False,True,KVM,[443 903],['kubelet' 'ntp'],VMware ESXi Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.97,True
srv-0020,Ubuntu Server,20.04,8,16,False,True,KVM,[443 514],['vault'],IDS/IPS Server,Moderate,Moderate,Moderate,synthetic_rules,0.93,True
srv-0021,Debian,12,2,32,False,True,Physical,[  22   80 3389],['kubelet' 'winrm'],Bastion Host,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
srv-0022,Windows Server,2022,4,32,False,True,VMware,[443],['sshd'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
srv-0023,Windows Server,2022,16,4,False,True,KVM,[  80  443 3389 8080],['tomcat'],Reverse Proxy,Moderate,Moderate,Moderate,synthetic_rules,0.9,True
srv-0024,RHEL,9,8,32,False,False,Physical,[443],['sshd'],CMDB Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0025,Debian,12,8,16,False,False,Hyper-V,[ 80 443],['apache2' 'ossec' 'tomcat' 'wazuh-manager'],Web Application Firewall,High,High,High,synthetic_rules,0.8,True
srv-0026,Windows Server,2016,4,8,False,True,KVM,[  22 3389],['docker'],Bastion Host,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
srv-0027,RHEL,9,8,128,False,False,Cloud VM,[  80  443 3389],['ntp' 'winrm'],Remote Desktop Services,Moderate,Moderate,Moderate,synthetic_ml_seed,0.99,True
srv-0028,Windows Server,2016,2,128,False,True,Cloud VM,[443],['ansible' 'jenkins'],Automation Orchestration Server,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
srv-0029,RHEL,8,4,128,False,False,Physical,[ 80 443],['sshd'],Privileged Access Management,High,High,Moderate,synthetic_ml_seed,0.94,True
srv-0030,Windows Server,2019,32,8,False,True,Physical,[443],['prometheus'],Artifact Repository,Moderate,Moderate,Moderate,synthetic_ml_seed,0.79,True
srv-0031,Windows Server,2019,32,64,False,True,VMware,[  22  443 8080],['iis' 'tomcat'],Secure Web Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.75,True
srv-0032,Ubuntu Server,22.04,8,64,False,False,Cloud VM,[  80  443 3391],['dns' 'kubelet'],Remote Access Gateway,Moderate,Moderate,High,synthetic_rules,0.8,True
srv-0033,RHEL,8,32,16,False,False,KVM,[  22 2376],['containerd' 'sshd'],Container Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
srv-0034,Ubuntu Server,20.04,4,128,False,False,Hyper-V,[ 80 443],['apache2' 'teams-gateway'],SharePoint Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.78,True
srv-0035,Debian,12,8,16,False,False,VMware,[  22 1521 5432],['mssql'],Geospatial Database,Moderate,Moderate,Moderate,synthetic_ml_seed,0.94,True
srv-0036,Windows Server,2016,8,16,False,True,VMware,[ 443 3389],['winrm'],BI Server,Moderate,Moderate,Moderate,synthetic_rules,0.95,True
srv-0037,Windows Server,2016,4,4,False,True,VMware,[8080],['apache2' 'teams-gateway'],Ticketing Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0038,Debian,12,2,8,True,False,Hyper-V,[ 443  903 3389],['docker'],Virtualization Host,Moderate,Moderate,High,synthetic_rules,0.77,True
srv-0039,Ubuntu Server,22.04,32,8,False,True,VMware,[ 1433 44818],['winrm'],SCADA Historian,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
srv-0040,Ubuntu Server,20.04,4,128,False,False,Container,[ 443 8200],['elastic-agent' 'wazuh-manager'],Secrets Management Server,High,High,Moderate,synthetic_rules,0.8,True
srv-0041,RHEL,8,8,128,False,False,VMware,[ 22 443],['radiusd'],Secrets Management Server,High,High,Moderate,synthetic_hybrid,0.84,True
srv-0042,Debian,12,4,64,False,False,KVM,[443],['winrm'],Threat Intelligence Server,Moderate,Moderate,Moderate,synthetic_rules,0.75,True
srv-0043,Debian,12,8,4,False,False,Physical,[22],['containerd'],Jump Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.82,True
srv-0044,Debian,12,4,4,False,False,VMware,[2379 2380 6443],['docker' 'sshd'],Kubernetes Control Plane,Moderate,Moderate,High,synthetic_hybrid,0.97,True
srv-0045,Debian,11,8,8,False,False,VMware,[ 2379  2380  6443 10250],['containerd'],Kubernetes Control Plane,Moderate,Moderate,High,synthetic_rules,0.74,True
srv-0046,Windows Server,2016,2,32,False,True,VMware,[443],['winrm'],Threat Intelligence Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.71,True
srv-0047,Ubuntu Server,22.04,4,128,False,False,KVM,[ 443 5985],['sshd'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_rules,0.83,True
srv-0048,Windows Server,2022,4,8,False,True,Cloud VM,[5986 8080],['confluence' 'iis' 'tomcat'],Ticketing Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0049,Windows Server,2019,16,32,False,True,Hyper-V,[389 443],['sshd'],Directory Sync Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.82,True
srv-0050,Windows Server,2016,8,128,False,True,Cloud VM,[ 443 3478],['teams-gateway'],Video Conferencing Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.98,True
srv-0051,Ubuntu Server,22.04,32,32,False,False,Physical,[443 445],['winrm'],Archive Server,High,High,High,synthetic_rules,0.96,True
srv-0052,Windows Server,2019,16,16,False,True,Hyper-V,[443],['apache2' 'nginx'],HRIS Server,Moderate,Moderate,Moderate,synthetic_rules,0.87,True
srv-0053,Ubuntu Server,22.04,8,32,False,False,Physical,[  22  443 5986],['gitlab' 'jenkins'],Backup Server,High,High,High,synthetic_rules,0.74,True
srv-0054,Windows Server,2019,8,4,False,True,Cloud VM,[443],['tomcat'],Web Server,Moderate,Moderate,High,synthetic_ml_seed,0.96,True
srv-0055,Ubuntu Server,22.04,2,128,False,False,Container,[ 443 8088],['winrm'],BI Server,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
srv-0056,Windows Server,2016,2,16,False,True,Physical,[  80  443 8080],['apache2' 'nginx'],Reverse Proxy,Moderate,Moderate,Moderate,synthetic_ml_seed,0.95,True
srv-0057,Windows Server,2016,4,4,False,True,KVM,[ 443  902  903 5985],['dhcp' 'sshd'],VMware ESXi Host,Moderate,Moderate,Moderate,synthetic_ml_seed,0.89,True
srv-0058,Debian,12,4,32,False,True,Container,[  80  443 3389 5986],['apache2' 'iis'],Web Server,Moderate,Moderate,High,synthetic_hybrid,0.86,True
srv-0059,RHEL,9,2,128,False,False,Cloud VM,[ 443 5986],['iis' 'sharepoint' 'tomcat'],SharePoint Server,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
srv-0060,Windows Server,2016,2,4,False,True,Physical,[  80  443 8080],['apache2' 'nginx'],Secure Web Gateway,Moderate,Moderate,Moderate,synthetic_ml_seed,0.81,True
srv-0061,Ubuntu Server,20.04,4,128,False,False,VMware,[ 443  514 5601],['vault'],SIEM Server,High,High,Moderate,synthetic_hybrid,0.96,True
srv-0062,Windows Server,2022,4,128,False,True,Cloud VM,[1433 3306 5986],['mssql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0063,Ubuntu Server,22.04,16,16,False,False,Physical,[443],['sshd'],SSO Server,High,High,Moderate,synthetic_rules,0.94,True
srv-0064,RHEL,9,2,16,False,False,Hyper-V,[ 443 8888],['sshd'],Analytics Server,Moderate,Moderate,Moderate,synthetic_rules,0.7,True
srv-0065,Windows Server,2022,4,32,False,True,VMware,[1433 1521 5432 5985],['oracle'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.92,True
srv-0066,Windows Server,2019,8,4,False,True,VMware,[  80  443 1935 5985],['winrm'],Media Streaming Server,Moderate,Moderate,Moderate,synthetic_rules,0.94,True
srv-0067,Windows Server,2019,8,64,False,True,KVM,[ 135 2179],['containerd'],Hyper-V Host,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
srv-0068,RHEL,8,32,128,False,False,Hyper-V,[  80  443 3389 5696],['vault'],Key Management Server,High,High,Moderate,synthetic_ml_seed,0.82,True
srv-0069,Windows Server,2016,8,64,False,True,VMware,[ 443 5985 8000],['apache2'],ERP Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0070,RHEL,8,4,16,False,False,KVM,[  80  443 9092],['winrm'],Message Queue Server,Moderate,Moderate,High,synthetic_hybrid,0.97,True
srv-0071,Windows Server,2022,4,16,False,True,KVM,[ 443 8443],['ansible'],Endpoint Management Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.7,True
srv-0072,Ubuntu Server,20.04,4,32,False,False,VMware,[ 22 443],['puppetserver'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
srv-0073,Debian,11,8,16,False,False,VMware,[443],['elastic-agent' 'ossec'],Email Security Gateway,High,High,High,synthetic_hybrid,0.86,True
srv-0074,Ubuntu Server,22.04,32,64,False,True,Hyper-V,[3389 5672 9092],['winrm'],Message Queue Server,Moderate,Moderate,High,synthetic_hybrid,0.72,True
srv-0075,RHEL,8,2,32,False,False,VMware,[ 22 443],['ossec'],Firewall Management Server,High,High,High,synthetic_hybrid,0.85,True
srv-0076,Debian,11,8,64,True,True,VMware,[ 443 3389],['sshd'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
srv-0077,Windows Server,2016,16,64,False,True,KVM,[1521 5432 5985],['postgresql'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.87,True
srv-0078,Debian,12,8,4,False,False,Hyper-V,[  80  443 8080],['winrm'],ETL Server,Moderate,Moderate,Moderate,synthetic_rules,0.81,True
srv-0079,Debian,12,8,128,False,True,Physical,[5601 9200 9300],['winrm'],Search Server,Moderate,Moderate,Moderate,synthetic_rules,0.71,True
srv-0080,Ubuntu Server,22.04,4,4,False,True,Physical,[ 443 9000],['elastic-agent' 'wazuh-manager'],HSM Management Server,High,High,Moderate,synthetic_rules,0.89,True
srv-0081,RHEL,8,2,4,False,True,VMware,[  22   80 2375 2376],['dhcp'],Container Host,Moderate,Moderate,Moderate,synthetic_ml_seed,0.82,True
srv-0082,Windows Server,2022,2,8,False,True,KVM,[ 22 443],['gitlab' 'grafana'],CI/CD Runner,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0083,RHEL,8,8,16,False,True,Physical,[443],['winrm'],CMDB Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.85,True
srv-0084,RHEL,9,4,128,False,True,KVM,[30000 30001],['kubelet'],Kubernetes Worker Node,Moderate,Moderate,Moderate,synthetic_ml_seed,0.73,True
srv-0085,Ubuntu Server,20.04,32,32,True,False,VMware,[10250 30000 30001],['ntp'],Kubernetes Worker Node,Moderate,Moderate,Moderate,synthetic_hybrid,0.9,True
srv-0086,Debian,12,4,8,False,False,Hyper-V,[ 443 3128],['sshd'],Proxy Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.81,True
srv-0087,Windows Server,2016,4,8,True,True,Hyper-V,[6006],['winrm'],Machine Learning Platform,Moderate,Moderate,Moderate,synthetic_hybrid,0.89,True
srv-0088,Windows Server,2016,32,4,False,True,Cloud VM,[443],['winrm'],SSO Server,High,High,Moderate,synthetic_rules,0.95,True
srv-0089,Debian,11,2,128,False,False,Hyper-V,[443],['iis'],Secure Web Gateway,Moderate,Moderate,Moderate,synthetic_ml_seed,0.73,True
srv-0090,Windows Server,2019,4,32,False,True,Physical,[  22 3389],['containerd'],Bastion Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0091,Windows Server,2019,2,4,False,True,Hyper-V,[  80 5432],['mysql'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.97,True
srv-0092,Ubuntu Server,22.04,16,16,False,False,VMware,[5601 9200],['suricata'],SIEM Server,High,High,Moderate,synthetic_hybrid,0.82,True
srv-0093,RHEL,8,8,16,False,True,Hyper-V,[  22 8081],['gitlab'],Artifact Repository,Moderate,Moderate,Moderate,synthetic_hybrid,0.8,True
srv-0094,Ubuntu Server,22.04,8,16,False,False,Hyper-V,[443 902 903],['containerd'],Virtualization Host,Moderate,Moderate,High,synthetic_rules,0.9,True
srv-0095,Ubuntu Server,20.04,16,4,False,True,Hyper-V,[443],['sshd'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_rules,0.76,True
srv-0096,Debian,11,32,128,False,False,Hyper-V,[443],['winrm'],Threat Intelligence Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.9,True
srv-0097,Debian,11,4,8,False,True,Cloud VM,[3306 5432],['mysql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
srv-0098,RHEL,9,32,16,False,False,VMware,[5601 9200],['winrm'],Search Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.74,True
srv-0099,Ubuntu Server,20.04,4,4,False,False,Hyper-V,[ 443 5985],['elastic-agent'],SIEM Server,High,High,Moderate,synthetic_ml_seed,0.98,True
srv-0100,Ubuntu Server,20.04,32,16,False,False,Cloud VM,[443],['nginx'],CRM Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.82,True
srv-0101,Ubuntu Server,22.04,2,4,False,False,Cloud VM,[1433 1521],['mssql'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.8,True
srv-0102,Ubuntu Server,22.04,16,8,True,True,VMware,[443 902 903],['dns' 'sshd'],Virtualization Host,Moderate,Moderate,High,synthetic_rules,0.77,True
srv-0103,RHEL,8,4,64,False,True,KVM,[27000],['winrm'],License Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.9,True
srv-0104,Ubuntu Server,20.04,4,8,False,False,Container,[ 80 443],['confluence' 'tomcat'],SharePoint Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
srv-0105,Debian,12,8,8,False,True,VMware,[ 443 5985 8080],['exchange' 'iis' 'tomcat'],Ticketing Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.91,True
srv-0106,RHEL,9,4,4,False,False,Physical,[  22   80 3389],['kubelet' 'sshd'],Jump Server,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
srv-0107,Debian,12,4,128,False,True,Container,[  22  443 3389 7990],['ansible' 'puppetserver'],Source Control Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0108,Ubuntu Server,20.04,16,4,False,False,Hyper-V,[ 443 5986],['winrm'],Directory Sync Server,Moderate,Moderate,Moderate,synthetic_rules,0.77,True
srv-0109,Ubuntu Server,22.04,8,16,False,False,Hyper-V,[5601 5986 9200 9300],['winrm'],Search Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.99,True
srv-0110,RHEL,9,8,32,False,True,Hyper-V,[902 903],['winrm'],VMware ESXi Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.74,True
srv-0111,Windows Server,2022,8,32,False,True,Physical,[5985 8000],['nginx'],ERP Server,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
srv-0112,Windows Server,2019,4,64,False,True,Hyper-V,[ 443 3260],['winrm'],SAN Management Server,High,High,High,synthetic_hybrid,0.92,True
srv-0113,RHEL,9,4,64,False,True,Hyper-V,[ 443 3260],['sshd'],SAN Management Server,High,High,High,synthetic_rules,0.8,True
srv-0114,Ubuntu Server,20.04,16,8,True,False,Hyper-V,[443],['winrm'],Threat Intelligence Server,Moderate,Moderate,Moderate,synthetic_rules,0.96,True
srv-0115,Windows Server,2022,16,32,False,True,KVM,[ 443 5986 8088],['sshd'],BI Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.96,True
srv-0116,Windows Server,2016,8,8,False,True,VMware,[ 80 443],['nginx' 'radiusd' 'tomcat' 'wazuh-manager'],Web Application Firewall,High,High,High,synthetic_ml_seed,0.78,True
srv-0117,Windows Server,2016,8,128,False,True,Cloud VM,[443],['apache2' 'nginx'],API Gateway,Moderate,Moderate,High,synthetic_hybrid,0.84,True
srv-0118,Ubuntu Server,20.04,4,128,False,True,Container,[ 443 5986],['exchange' 'iis' 'tomcat'],Ticketing Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.99,True
srv-0119,Debian,11,4,4,False,False,VMware,[80],['apache2' 'nginx'],Web Server,Moderate,Moderate,High,synthetic_rules,0.77,True
srv-0120,RHEL,9,16,64,False,False,Physical,[  22 8080],['iis' 'nginx' 'sharepoint'],Ticketing Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0121,Debian,12,8,32,False,False,VMware,[  22  443 8088],['sshd'],BI Server,Moderate,Moderate,Moderate,synthetic_rules,0.79,True
srv-0122,Ubuntu Server,22.04,2,8,False,False,Hyper-V,[  22  443 2195 5986],['sshd'],MDM Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
srv-0123,Windows Server,2016,8,64,False,True,VMware,[ 443 8080],['iis' 'sharepoint'],Help Desk Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.93,True
srv-0124,Ubuntu Server,20.04,8,4,False,True,VMware,[443 445],['winrm'],Archive Server,High,High,High,synthetic_rules,0.8,True
srv-0125,Windows Server,2019,4,128,False,True,Hyper-V,[443 902 903],['dns'],VMware ESXi Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.84,True
srv-0126,Ubuntu Server,22.04,32,128,False,False,KVM,[ 443 5986],['winrm'],License Compliance Server,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
srv-0127,RHEL,9,8,4,False,False,Cloud VM,[ 443 5985],['apache2' 'iis'],API Gateway,Moderate,Moderate,High,synthetic_rules,0.73,True
srv-0128,Debian,12,8,64,False,True,VMware,[ 80 123],['kubelet'],NTP Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0129,RHEL,8,8,4,False,False,VMware,[ 22  80 443],['winrm'],Load Balancer,Moderate,Moderate,High,synthetic_ml_seed,0.8,True
srv-0130,Debian,11,4,32,False,True,KVM,[ 443 8080],['confluence' 'nginx'],Help Desk Server,Moderate,Moderate,Moderate,synthetic_rules,0.8,True
srv-0131,Ubuntu Server,22.04,16,32,False,False,Hyper-V,[10250 30000 30001],['ntp'],Kubernetes Worker Node,Moderate,Moderate,Moderate,synthetic_rules,0.77,True
srv-0132,RHEL,8,16,8,False,False,Physical,[  22 3389],['dhcp' 'ntp'],Jump Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0133,RHEL,8,2,32,False,False,Container,[ 443 5985 5986],['winrm'],Disaster Recovery Orchestrator,Moderate,Moderate,Moderate,synthetic_rules,0.78,True
srv-0134,Windows Server,2022,32,32,False,True,KVM,[ 22 443],['suricata' 'vault'],Firewall Management Server,High,High,High,synthetic_hybrid,0.73,True
srv-0135,Ubuntu Server,20.04,4,4,False,True,Cloud VM,[443],['suricata' 'vault'],Identity Governance Server,High,High,Moderate,synthetic_rules,0.76,True
srv-0136,RHEL,8,8,16,False,True,Container,[ 80 443],['sshd'],Load Balancer,Moderate,Moderate,High,synthetic_rules,0.78,True
srv-0137,Windows Server,2022,4,8,False,True,Cloud VM,[443 502],['sshd'],OT Management Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.78,True
srv-0138,Windows Server,2019,8,32,False,True,Physical,[1433 3306 5432],['mysql'],Database Proxy,Moderate,Moderate,Moderate,synthetic_hybrid,0.8,True
srv-0139,Debian,11,32,16,False,False,Physical,[ 443 8080],['iis'],Wiki Server,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
srv-0140,RHEL,8,4,4,False,False,VMware,[  80  443 3478 5985],['confluence'],Video Conferencing Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.7,True
srv-0141,Windows Server,2019,32,32,False,True,Hyper-V,[22 53],['ntp'],DNS Server,Moderate,Moderate,High,synthetic_rules,0.88,True
srv-0142,Windows Server,2022,8,16,False,True,Hyper-V,[53],['kubelet' 'sshd'],DNS Server,Moderate,Moderate,High,synthetic_rules,0.74,True
srv-0143,Windows Server,2019,4,64,False,True,KVM,[22],['sshd'],SFTP Server,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
srv-0144,Windows Server,2019,4,32,False,True,Physical,[1812],['winrm'],Network Access Control Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.94,True
srv-0145,Windows Server,2019,2,16,False,True,Cloud VM,[3128 5986 8080],['sshd'],Proxy Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.95,True
srv-0146,RHEL,9,8,128,False,False,Hyper-V,[  22   80  443 8443],['prometheus'],Endpoint Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
srv-0147,Debian,11,4,64,False,False,VMware,[ 23 443],['sshd'],Mainframe Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.9,True
srv-0148,Debian,12,4,4,False,False,VMware,[ 443 3128 8080],['sshd'],Proxy Server,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
srv-0149,RHEL,9,4,16,False,False,VMware,[9100],['winrm'],Print Server,Moderate,Moderate,Moderate,synthetic_rules,0.84,True
srv-0150,Ubuntu Server,22.04,4,4,False,True,VMware,[ 443 5222],['teams-gateway'],Collaboration Server,Moderate,Moderate,Moderate,synthetic_rules,0.99,True
srv-0151,Debian,12,4,128,False,False,Container,[443],['sshd'],Threat Intelligence Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.92,True
srv-0152,Ubuntu Server,20.04,32,64,False,False,Hyper-V,[ 443 5985],['teams-gateway'],Video Conferencing Server,Moderate,Moderate,Moderate,synthetic_rules,0.78,True
srv-0153,Windows Server,2019,16,128,False,True,Hyper-V,[22],['dns' 'docker'],Bastion Host,Moderate,Moderate,Moderate,synthetic_ml_seed,0.94,True
srv-0154,Debian,11,4,4,False,False,VMware,[ 80 443],['winrm'],Load Balancer,Moderate,Moderate,High,synthetic_rules,0.75,True
srv-0155,Windows Server,2019,8,128,False,True,Physical,[ 80 139],['winrm'],File Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.72,True
srv-0156,Windows Server,2019,2,4,False,True,Hyper-V,[ 443 3389],['winrm'],Asset Management Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.82,True
srv-0157,RHEL,9,4,16,False,True,VMware,[5432],['postgresql'],Data Warehouse Server,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
srv-0158,Debian,12,4,128,False,False,Physical,[ 443 8834],['sshd'],Vulnerability Scanner,Moderate,Moderate,Moderate,synthetic_rules,0.98,True
srv-0159,Debian,11,8,16,False,False,Container,[ 443 5985],['sshd'],Cloud Management Gateway,Moderate,Moderate,Moderate,synthetic_hybrid,0.95,True
srv-0160,Windows Server,2022,4,8,False,True,Cloud VM,[ 443 8140],['jenkins' 'prometheus'],Configuration Management Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0161,Ubuntu Server,20.04,2,64,False,True,Hyper-V,[1521 3389 5432],['mssql'],Database Server,High,High,High,synthetic_hybrid,0.97,True
srv-0162,RHEL,8,16,128,False,True,VMware,[5672],['winrm'],Message Queue Server,Moderate,Moderate,High,synthetic_hybrid,0.89,True
srv-0163,Windows Server,2022,8,16,False,True,VMware,[ 22 443],['gitlab'],DevOps Build Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.89,True
srv-0164,Windows Server,2019,8,8,False,True,Physical,[ 22 443],['ossec'],Firewall Management Server,High,High,High,synthetic_rules,0.92,True
srv-0165,Windows Server,2019,16,4,False,True,VMware,[110 465 587 993],['teams-gateway'],Mail Server,Moderate,Moderate,Moderate,synthetic_rules,0.72,True
srv-0166,RHEL,8,4,4,False,True,VMware,[ 515  631 3389 9100],['winrm'],Print Server,Moderate,Moderate,Moderate,synthetic_rules,0.73,True
srv-0167,Ubuntu Server,20.04,8,128,False,False,Hyper-V,[ 80 443],['ossec' 'wazuh-manager'],Identity Federation Server,High,High,Moderate,synthetic_hybrid,0.9,True
srv-0168,Windows Server,2019,2,8,False,True,VMware,[ 111 5986],['winrm'],NAS Server,High,High,High,synthetic_rules,0.98,True
srv-0169,Debian,11,2,16,False,True,Cloud VM,[  22  443 7990],['ansible' 'jenkins'],Source Control Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.99,True
srv-0170,Ubuntu Server,20.04,8,16,False,False,KVM,[443],['tomcat'],CRM Server,Moderate,Moderate,Moderate,synthetic_rules,0.91,True
srv-0171,Windows Server,2022,32,64,False,True,Cloud VM,[443],['elastic-agent' 'wazuh-manager'],DLP Management Server,High,High,High,synthetic_rules,0.88,True
srv-0172,Windows Server,2019,2,64,False,True,KVM,[ 111  445 2049 3389],['winrm'],Storage Server,High,High,High,synthetic_ml_seed,0.71,True
