role,os_type,os_version,hostname_pattern,business_function,department,open_ports,running_services,installed_roles,installed_software
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS""]","[""Group Policy Management"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""RDP"", ""Event Log"", ""DNS""]","[""AD DS""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,IT,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS"", ""Remote Administration""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Security,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""WinRM"", ""DNS""]","[""AD DS"", ""Remote Administration"", ""Management Tools""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Security,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP""]","[""Active Directory Domain Services""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""Group Policy Management"", ""AV Scanner"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,IT,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""Monitoring Service""]","[""AD DS""]","[""AD Administrative Center"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS""]","[""RSAT AD Tools"", ""Endpoint Protection"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Security,"[53, 88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""AD Administrative Center"", ""Monitoring Agent"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""Active Directory Domain Services""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""Active Directory Domain Services""]","[""RSAT AD Tools"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""WinRM"", ""DNS""]","[""Active Directory Domain Services""]","[""RSAT AD Tools"", ""Endpoint Protection"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Infrastructure,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""RDP""]","[""Active Directory Domain Services"", ""Management Tools"", ""Remote Administration""]","[""Group Policy Management"", ""Monitoring Agent"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Directory Services,IT,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""AD Administrative Center"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Security,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""Event Log"", ""RDP"", ""DNS""]","[""AD DS"", ""Remote Administration""]","[""RSAT AD Tools"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS""]","[""RSAT AD Tools"", ""Monitoring Agent"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Security,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""AD Administrative Center"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Infrastructure,"[88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Infrastructure,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""Active Directory Domain Services""]","[""RSAT AD Tools"", ""AV Scanner"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Infrastructure,"[88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP""]","[""AD DS""]","[""AD Administrative Center"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS""]","[""Group Policy Management"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Security,"[53, 88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos"", ""Monitoring Service"", ""RDP""]","[""AD DS"", ""Management Tools""]","[""RSAT AD Tools"", ""Monitoring Agent"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""Active Directory Domain Services""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Infrastructure,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""DNS""]","[""Active Directory Domain Services""]","[""RSAT AD Tools"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,IT,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""Event Log"", ""Monitoring Service"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,IT,"[88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Infrastructure,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""RDP"", ""Event Log""]","[""Active Directory Domain Services"", ""Management Tools"", ""Remote Administration""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Security,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP"", ""Event Log"", ""RDP""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Security,"[88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""WinRM""]","[""AD DS"", ""Management Tools""]","[""Group Policy Management"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Security,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""Active Directory Domain Services""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Infrastructure,"[88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP""]","[""Active Directory Domain Services"", ""Management Tools""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""DNS""]","[""Active Directory Domain Services""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,IT,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""AV Scanner"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""WinRM"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Security,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""Remote Administration"", ""Management Tools""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS""]","[""AD Administrative Center"", ""Backup Agent"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Security,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP"", ""Event Log""]","[""AD DS""]","[""AD Administrative Center"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS""]","[""RSAT AD Tools"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Identity Infrastructure,IT,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS""]","[""RSAT AD Tools"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,Security,"[53, 88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""WinRM"", ""Monitoring Service"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Directory Services,Security,"[88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""RDP"", ""Event Log""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""Sysmon"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,IT,"[88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""RDP""]","[""AD DS"", ""Management Tools""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,IT,"[88, 135, 389, 445]","[""Kerberos"", ""LDAP""]","[""Active Directory Domain Services""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Infrastructure,"[88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""RDP""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management"", ""AV Scanner"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Identity Infrastructure,Security,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Security,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""WinRM"", ""DNS""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,IT,"[88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""Sysmon"", ""Monitoring Agent""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,Infrastructure,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP""]","[""AD DS"", ""DNS Server""]","[""AD Administrative Center"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Infrastructure,"[88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Security,"[53, 88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""Event Log"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""Monitoring Service""]","[""AD DS""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP""]","[""AD DS""]","[""Group Policy Management"", ""Monitoring Agent""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""Monitoring Service"", ""WinRM""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""Backup Agent"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""DNS Server"", ""Remote Administration"", ""Management Tools""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""Monitoring Agent"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP"", ""WinRM"", ""RDP""]","[""Active Directory Domain Services""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,IT,"[88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""RDP"", ""Event Log""]","[""AD DS""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS""]","[""Group Policy Management"", ""Backup Agent"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Infrastructure,"[88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""RDP"", ""Monitoring Service""]","[""Active Directory Domain Services"", ""Remote Administration"", ""Management Tools""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""Event Log"", ""Monitoring Service"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""DNS""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Sysmon"", ""Monitoring Agent""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,IT,"[53, 88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""Active Directory Domain Services""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Security,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""Active Directory Domain Services"", ""Remote Administration"", ""Management Tools""]","[""Group Policy Management"", ""AV Scanner"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Security,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""Group Policy Management"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Security,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""Monitoring Service"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""AD Administrative Center"", ""PowerShell"", ""Sysmon""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos"", ""WinRM""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Monitoring Agent"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Security,"[53, 88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""Monitoring Service"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools"", ""Endpoint Protection"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""Active Directory Domain Services""]","[""RSAT AD Tools"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""RDP"", ""WinRM"", ""DNS""]","[""Active Directory Domain Services"", ""Management Tools""]","[""Group Policy Management"", ""AV Scanner""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""RDP""]","[""AD DS""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Identity Infrastructure,IT,"[88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP""]","[""Active Directory Domain Services"", ""Remote Administration"", ""Management Tools""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""DNS""]","[""AD DS"", ""Remote Administration"", ""Management Tools""]","[""AD Administrative Center"", ""Monitoring Agent"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""Active Directory Domain Services""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,Security,"[88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""Monitoring Service"", ""RDP""]","[""Active Directory Domain Services"", ""Remote Administration"", ""Management Tools""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Identity Infrastructure,IT,"[53, 88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos"", ""DNS""]","[""Active Directory Domain Services""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos""]","[""Active Directory Domain Services""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Directory Services,Security,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""Management Tools"", ""Remote Administration""]","[""RSAT AD Tools""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Core Network Services,IT,"[53, 135]","[""DNS Resolver""]","[""DNS Server""]","[""BIND Tools""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Networking,IT,"[53, 135]","[""DNS Resolver""]","[""DNS""]","[""Windows DNS""]"
DNS Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,[53],"[""DNS Server""]","[""DNS Server"", ""Remote Administration""]","[""DNS Management Tools""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Name Resolution,Infrastructure,"[53, 80]","[""DNS""]","[""DNS Server""]","[""Windows DNS"", ""PowerShell""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Name Resolution,Infrastructure,"[53, 80]","[""DNS""]","[""DNS""]","[""Windows DNS""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Name Resolution,Infrastructure,[53],"[""DNS""]","[""DNS""]","[""DNS Management Tools"", ""AV Scanner"", ""Monitoring Agent""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Networking,Infrastructure,[53],"[""DNS Server""]","[""DNS""]","[""Windows DNS""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Networking,IT,"[53, 135]","[""DNS Resolver""]","[""DNS"", ""Remote Administration""]","[""Windows DNS""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Name Resolution,Infrastructure,"[53, 80]","[""DNS""]","[""DNS""]","[""DNS Management Tools"", ""Endpoint Protection"", ""AV Scanner""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Core Network Services,Infrastructure,[53],"[""DNS""]","[""DNS Server""]","[""DNS Management Tools""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Name Resolution,Infrastructure,[53],"[""DNS""]","[""DNS Server""]","[""Windows DNS""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Name Resolution,Infrastructure,"[53, 80]","[""DNS Resolver""]","[""DNS Server"", ""Management Tools"", ""Remote Administration""]","[""BIND Tools"", ""Endpoint Protection""]"
DNS Server,Windows Server,Windows Server 2022,SRV,Name Resolution,Infrastructure,"[53, 80]","[""DNS Resolver""]","[""DNS""]","[""BIND Tools"", ""Monitoring Agent"", ""Backup Agent""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Core Network Services,Infrastructure,"[53, 135]","[""DNS Resolver"", ""Event Log""]","[""DNS""]","[""Windows DNS"", ""Monitoring Agent"", ""PowerShell""]"
DNS Server,Windows Server,Windows Server 2022,SRV,Core Network Services,Infrastructure,"[53, 135]","[""DNS Resolver""]","[""DNS Server""]","[""BIND Tools""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Core Network Services,Infrastructure,"[53, 80]","[""DNS Server""]","[""DNS"", ""Management Tools"", ""Remote Administration""]","[""Windows DNS"", ""Backup Agent"", ""AV Scanner""]"
DNS Server,Windows Server,Windows Server 2022,SRV,Core Network Services,IT,"[53, 135]","[""DNS""]","[""DNS""]","[""DNS Management Tools""]"
DNS Server,Windows Server,Windows Server 2016,SRV,Core Network Services,Infrastructure,[53],"[""DNS"", ""Event Log"", ""RDP""]","[""DNS Server""]","[""BIND Tools""]"
DNS Server,Windows Server,Windows Server 2019,SRV,Name Resolution,Infrastructure,[53],"[""DNS Resolver""]","[""DNS Server""]","[""DNS Management Tools""]"
